tort #,id,Insc #,tort #,rarity score,rank
1,3d545362c71b84c6496606ec07c1509be25f07c9daed34b772bb1bbbd2316d60i0,17350,1,110.8,424
2,975ba4413992c53c497ac2ccd0dadcf1d24b58cc1091afc37cbc683cb4cb40cei0,35916,2,104.8,284
3,d8d98902f513d12c662a1a58ddd93bb0db9bb557e5f1c64040dff4a87824aa5fi0,40541,3,111.2,426
4,76d2329ece307b385fd3b58c5ffab678f08ba6d21caa2eb0ac0dcfede4c6e9adi0,40665,4,111.6,437
5,f553736125a161165759a16e6259cbb3de1c3f5c4a9f6cff489256a8b41167e5i0,40144,5,107,341
6,eb306671bef99959724aa4f12c78de99f50eca717b977225997603ee4c6c5e5fi0,35788,6,76.4,14
7,a611bcaa63f4db6894942303488977bdb797896da378a12e589e35be7123b14ei0,16621,7,114,476
8,7f38147a6ce9da58edac3a294534f6a98218c82d5c8c4cba05ce0d10021a8e2ci0,40161,8,85.4,43
9,50adea1698b07aa9975b4e631651deef98945ab75a5537fa4e765d185c94a0edi0,40050,9,107.2,344
10,1b3ac8a9246e02de3a333c4f060e94afa20170693d0b3b9b182677cf42d96916i0,37707,10,81.4,24
11,81031022fd20d9865299500ce27a0bda8417ae084ba61e8ed6375cb789592280i0,40374,11,102.4,239
12,57988878450716410d8bc74ef3f603c343b9f27ee3a80a8cf0265318060b3473i0,17203,12,99.8,185
13,5369bfe32954972ef9fe450d31c1fa7c513580289a2a6963e4900bdaf4eaad25i0,39868,13,107.4,351
14,acdf2f605ecbcd807492c293edcba11c229e3c660b5023ef8e490e163cae643fi0,39872,14,97,141
15,2630c7931601e9d756bbddd905026d7a38cb9561fae55b83fb5aa8c8f442f300i0,40652,15,112.8,453
16,9754ee3fb28f10084388a028ad5efc9ff8389b6a14c1c10341bef3f51e814d93i0,40243,16,111.6,438
17,3bf22e9f14e19e014f2a6848cdac48962cfaad619520833e42fdd4633dfc3a69i0,16188,17,114.8,489
18,4119554afc1ed8efc5134573167e1adef8721c241323abc8cb252697969ec54di0,40037,18,94.43,116
19,86550bdc4d039b91dd514262d4386fc58ae83f37663394091ac1ac0cc0f2581di0,40292,19,83.2,33
20,e83badfee0040862b02bc081f77a77ea4c6fa0b58b4f58305cad73a0ded6350di0,17214,20,84,39
21,e7617d95d047a8c762a08cfa0d16ff0df8e3519bfb1cebaf9e2d3c42493ff0b1i0,39950,21,86.83,55
22,e50daf8345173aa40db225ba00439a4919297b5d9481fbd84fa8004c1010b770i0,40333,22,96,130
23,d0de3adc45957127ce8cae26aad6c5adab288a78d5c9fd4c4366fabe1ae576bai0,40765,23,111.4,432
24,bcf85ba2fcc483a0dafd7439891cc937d715b33c92061cdcbb534e33e9aeb5cbi0,16639,24,96.6,136
25,6d9522138b33cf5d2dead5ceef8d2fbf755ba1a0a83e1bbdbce0c9150aaa0ee5i0,40048,25,91.96,94
26,1cf378666f8295474329e47c7b92d7ecd28a41ed1e42bc9b301388eb436d2db3i0,16625,26,98.2,158
27,2b42d7af42384f073e67fa92fc9ec1f34b97c5012951a09ad909e598ad84cb71i0,40298,27,97.6,151
28,b2d024307bff3caf5004b65f252e5807ef37d9d26dd445d50d3b207b0c6a3384i0,39881,28,103,248
